trial,strategy,perception_seed,planner_seed,mean_localisation_error,mean_predicted_sigma,camera_movement,planning_success,collision_against_truth,safety_violation_against_truth,minimum_true_safety_clearance,mean_planning_safety_margin,maximum_planning_safety_radius
0,fixed,20260823,2000,0.005681295945506831,0.003289246736164148,0.0,True,False,False,0.005712920838738726,0.021578493472328295,0.04915698694465659
0,generic_active,20260823,2000,0.0514284756762838,0.026000000000000002,0.03642709213008326,False,False,False,-inf,0.067,0.14
0,task_aware_active,20260823,2000,0.0053357659502787655,0.003117711648907182,0.11544233643275585,True,False,False,0.005688260583535455,0.02123542329781436,0.048470846595628725
1,fixed,20260824,2001,0.005897763584962023,0.003289246736164148,0.0,True,False,False,0.00267487812229184,0.021578493472328295,0.04915698694465659
1,generic_active,20260824,2001,0.05291695221845916,0.026000000000000002,0.03642709213008326,False,False,False,-inf,0.067,0.14
1,task_aware_active,20260824,2001,0.005542626063484838,0.003117711648907182,0.11544233643275585,True,False,False,0.0042890995832696715,0.02123542329781436,0.048470846595628725
2,fixed,20260825,2002,0.009738315412304467,0.003289246736164148,0.0,True,False,True,-0.0007150534905707526,0.021578493472328295,0.04915698694465659
2,generic_active,20260825,2002,0.08586740961250064,0.026000000000000002,0.03642709213008326,True,False,True,-0.00784815446742443,0.067,0.14
2,task_aware_active,20260825,2002,0.00916330978987014,0.003117711648907182,0.11544233643275585,True,False,True,-0.0007150534905707526,0.02123542329781436,0.048470846595628725
3,fixed,20260826,2003,0.005573488373226046,0.003289246736164148,0.0,True,False,False,0.0018833225571096273,0.021578493472328295,0.04915698694465659
3,generic_active,20260826,2003,0.043100302534623464,0.026000000000000002,0.03642709213008326,False,False,False,-inf,0.067,0.14
3,task_aware_active,20260826,2003,0.005290047077075742,0.003117711648907182,0.11544233643275585,True,False,False,0.0017016967027527734,0.02123542329781436,0.048470846595628725
4,fixed,20260827,2004,0.004776751904449214,0.003289246736164148,0.0,True,False,False,0.0011146894282462443,0.021578493472328295,0.04915698694465659
4,generic_active,20260827,2004,0.0331827479290884,0.026000000000000002,0.03642709213008326,False,False,False,-inf,0.067,0.14
4,task_aware_active,20260827,2004,0.004562200456062577,0.003117711648907182,0.11544233643275585,True,False,False,0.007372084847278927,0.02123542329781436,0.048470846595628725
5,fixed,20260828,2005,0.004652878889812705,0.003289246736164148,0.0,True,False,False,0.007619396359419868,0.021578493472328295,0.04915698694465659
5,generic_active,20260828,2005,0.03191394394004126,0.026000000000000002,0.03642709213008326,False,False,False,-inf,0.067,0.14
5,task_aware_active,20260828,2005,0.004446975143786145,0.003117711648907182,0.11544233643275585,True,False,False,0.007619396359419868,0.02123542329781436,0.048470846595628725
6,fixed,20260829,2006,0.0032502523198420356,0.003289246736164148,0.0,True,False,False,0.0026698651078506715,0.021578493472328295,0.04915698694465659
6,generic_active,20260829,2006,0.026240860688651727,0.026000000000000002,0.03642709213008326,False,False,False,-inf,0.067,0.14
6,task_aware_active,20260829,2006,0.003076603477515246,0.003117711648907182,0.11544233643275585,True,False,False,0.0026698651078506715,0.02123542329781436,0.048470846595628725
7,fixed,20260830,2007,0.004695982364211149,0.003289246736164148,0.0,True,False,False,0.008236777474211613,0.021578493472328295,0.04915698694465659
7,generic_active,20260830,2007,0.030896781542178477,0.026000000000000002,0.03642709213008326,False,False,False,-inf,0.067,0.14
7,task_aware_active,20260830,2007,0.004498086842165579,0.003117711648907182,0.11544233643275585,True,False,False,0.007487158550546677,0.02123542329781436,0.048470846595628725
8,fixed,20260831,2008,0.006330592660800317,0.003289246736164148,0.0,True,False,False,0.002969010591977619,0.021578493472328295,0.04915698694465659
