scenario_id,scenario_name,movement_weight,generic_candidate_index,task_candidate_index,generic_movement,task_movement,generic_sigma,task_sigma,generic_alignment,task_alignment,generic_information,task_information,generic_normalised_movement,task_normalised_movement,generic_score,task_score,different_candidate
0,baseline,0.0,0,4,0.0,0.24413930440481207,0.002,0.002,0.8986761153306215,0.9983286048827411,1.0,1.0,0.0,0.6103482610120301,1.0,1.998328604882741,True
0,baseline,0.025,0,4,0.0,0.24413930440481207,0.002,0.002,0.8986761153306215,0.9983286048827411,1.0,1.0,0.0,0.6103482610120301,1.0,1.9830698983574404,True
0,baseline,0.05,0,3,0.0,0.1993389073166024,0.002,0.002,0.8986761153306215,0.9942052588906239,1.0,1.0,0.0,0.49834726829150594,1.0,1.9692878954760487,True
0,baseline,0.075,0,3,0.0,0.1993389073166024,0.002,0.002,0.8986761153306215,0.9942052588906239,1.0,1.0,0.0,0.49834726829150594,1.0,1.9568292137687608,True
0,baseline,0.1,0,3,0.0,0.1993389073166024,0.002,0.002,0.8986761153306215,0.9942052588906239,1.0,1.0,0.0,0.49834726829150594,1.0,1.9443705320614733,True
0,baseline,0.15,0,2,0.0,0.14095389311788623,0.002,0.002,0.8986761153306215,0.9727783723504789,1.0,1.0,0.0,0.35238473279471555,1.0,1.9199206624312715,True
0,baseline,0.2,0,2,0.0,0.14095389311788623,0.002,0.002,0.8986761153306215,0.9727783723504789,1.0,1.0,0.0,0.35238473279471555,1.0,1.9023014257915358,True
0,baseline,0.25,0,0,0.0,0.0,0.002,0.002,0.8986761153306215,0.8986761153306215,1.0,1.0,0.0,0.0,1.0,1.8986761153306215,False
0,baseline,0.5,0,0,0.0,0.0,0.002,0.002,0.8986761153306215,0.8986761153306215,1.0,1.0,0.0,0.0,1.0,1.8986761153306215,False
0,baseline,1.0,0,0,0.0,0.0,0.002,0.002,0.8986761153306215,0.8986761153306215,1.0,1.0,0.0,0.0,1.0,1.8986761153306215,False
1,lateral_positive,0.0,0,4,0.1993389073166024,0.07296310404050815,0.002,0.002,0.8905211368033017,0.9981940838728491,1.0,1.0,0.49834726829150594,0.18240776010127038,1.0,1.9981940838728491,True
1,lateral_positive,0.025,3,3,0.0,0.0,0.002,0.002,0.993738873403406,0.993738873403406,1.0,1.0,0.0,0.0,1.0,1.993738873403406,False
1,lateral_positive,0.05,3,3,0.0,0.0,0.002,0.002,0.993738873403406,0.993738873403406,1.0,1.0,0.0,0.0,1.0,1.993738873403406,False
1,lateral_positive,0.075,3,3,0.0,0.0,0.002,0.002,0.993738873403406,0.993738873403406,1.0,1.0,0.0,0.0,1.0,1.993738873403406,False
1,lateral_positive,0.1,3,3,0.0,0.0,0.002,0.002,0.993738873403406,0.993738873403406,1.0,1.0,0.0,0.0,1.0,1.993738873403406,False
1,lateral_positive,0.15,3,3,0.0,0.0,0.002,0.002,0.993738873403406,0.993738873403406,1.0,1.0,0.0,0.0,1.0,1.993738873403406,False
1,lateral_positive,0.2,3,3,0.0,0.0,0.002,0.002,0.993738873403406,0.993738873403406,1.0,1.0,0.0,0.0,1.0,1.993738873403406,False
1,lateral_positive,0.25,3,3,0.0,0.0,0.002,0.002,0.993738873403406,0.993738873403406,1.0,1.0,0.0,0.0,1.0,1.993738873403406,False
1,lateral_positive,0.5,3,3,0.0,0.0,0.002,0.002,0.993738873403406,0.993738873403406,1.0,1.0,0.0,0.0,1.0,1.993738873403406,False
1,lateral_positive,1.0,3,3,0.0,0.0,0.002,0.002,0.993738873403406,0.993738873403406,1.0,1.0,0.0,0.0,1.0,1.993738873403406,False
