scenario_id,scenario_name,movement_weight,selected_candidate_index,camera_movement,predicted_sigma,task_relevance,task_alignment,normalised_generic_utility,normalised_uncertainty_information,normalised_movement_cost,final_score,generic_candidate_index,generic_camera_movement,generic_predicted_sigma,differs_from_generic
0,baseline,0.0,0,0.0,0.002,0.19229179037688582,0.8986761153306215,1.0,1.0,0.0,1.3650998295627557,0,0.0,0.002,False
0,baseline,0.25,0,0.0,0.002,0.19229179037688582,0.8986761153306215,1.0,1.0,0.0,1.3650998295627557,0,0.0,0.002,False
0,baseline,0.5,0,0.0,0.002,0.19229179037688582,0.8986761153306215,1.0,1.0,0.0,1.3650998295627557,0,0.0,0.002,False
0,baseline,1.0,0,0.0,0.002,0.19229179037688582,0.8986761153306215,1.0,1.0,0.0,1.3650998295627557,0,0.0,0.002,False
0,baseline,2.0,0,0.0,0.002,0.19229179037688582,0.8986761153306215,1.0,1.0,0.0,1.3650998295627557,0,0.0,0.002,False
0,baseline,4.0,0,0.0,0.002,0.19229179037688582,0.8986761153306215,1.0,1.0,0.0,1.3650998295627557,0,0.0,0.002,False
0,baseline,8.0,0,0.0,0.002,0.19229179037688582,0.8986761153306215,1.0,1.0,0.0,1.3650998295627557,0,0.0,0.002,False
1,lateral_positive,0.0,3,0.0,0.002,0.22257297132686013,0.993738873403406,1.0,1.0,0.0,1.4437523851032625,3,0.0,0.002,False
1,lateral_positive,0.25,3,0.0,0.002,0.22257297132686013,0.993738873403406,1.0,1.0,0.0,1.4437523851032625,3,0.0,0.002,False
1,lateral_positive,0.5,3,0.0,0.002,0.22257297132686013,0.993738873403406,1.0,1.0,0.0,1.4437523851032625,3,0.0,0.002,False
1,lateral_positive,1.0,3,0.0,0.002,0.22257297132686013,0.993738873403406,1.0,1.0,0.0,1.4437523851032625,3,0.0,0.002,False
1,lateral_positive,2.0,3,0.0,0.002,0.22257297132686013,0.993738873403406,1.0,1.0,0.0,1.4437523851032625,3,0.0,0.002,False
1,lateral_positive,4.0,3,0.0,0.002,0.22257297132686013,0.993738873403406,1.0,1.0,0.0,1.4437523851032625,3,0.0,0.002,False
1,lateral_positive,8.0,3,0.0,0.002,0.22257297132686013,0.993738873403406,1.0,1.0,0.0,1.4437523851032625,3,0.0,0.002,False
2,lateral_negative,0.0,6,0.0,0.002,0.16647814865259042,0.9602413353562083,1.0,1.0,0.0,1.326337348422383,6,0.0,0.002,False
2,lateral_negative,0.25,6,0.0,0.002,0.16647814865259042,0.9602413353562083,1.0,1.0,0.0,1.326337348422383,6,0.0,0.002,False
2,lateral_negative,0.5,6,0.0,0.002,0.16647814865259042,0.9602413353562083,1.0,1.0,0.0,1.326337348422383,6,0.0,0.002,False
2,lateral_negative,1.0,6,0.0,0.002,0.16647814865259042,0.9602413353562083,1.0,1.0,0.0,1.326337348422383,6,0.0,0.002,False
2,lateral_negative,2.0,6,0.0,0.002,0.16647814865259042,0.9602413353562083,1.0,1.0,0.0,1.326337348422383,6,0.0,0.002,False
2,lateral_negative,4.0,6,0.0,0.002,0.16647814865259042,0.9602413353562083,1.0,1.0,0.0,1.326337348422383,6,0.0,0.002,False
2,lateral_negative,8.0,6,0.0,0.002,0.16647814865259042,0.9602413353562083,1.0,1.0,0.0,1.326337348422383,6,0.0,0.002,False
3,superior_shift,0.0,9,0.0,0.002,0.1591073121845889,0.8819123913089086,1.0,1.0,0.0,1.2994260223480327,9,0.0,0.002,False
3,superior_shift,0.25,9,0.0,0.002,0.1591073121845889,0.8819123913089086,1.0,1.0,0.0,1.2994260223480327,9,0.0,0.002,False
3,superior_shift,0.5,9,0.0,0.002,0.1591073121845889,0.8819123913089086,1.0,1.0,0.0,1.2994260223480327,9,0.0,0.002,False
3,superior_shift,1.0,9,0.0,0.002,0.1591073121845889,0.8819123913089086,1.0,1.0,0.0,1.2994260223480327,9,0.0,0.002,False
3,superior_shift,2.0,9,0.0,0.002,0.1591073121845889,0.8819123913089086,1.0,1.0,0.0,1.2994260223480327,9,0.0,0.002,False
3,superior_shift,4.0,9,0.0,0.002,0.1591073121845889,0.8819123913089086,1.0,1.0,0.0,1.2994260223480327,9,0.0,0.002,False
3,superior_shift,8.0,9,0.0,0.002,0.1591073121845889,0.8819123913089086,1.0,1.0,0.0,1.2994260223480327,9,0.0,0.002,False
