scenario,repetition,episode_seed,strategy,initial_plan_success,completed,safe_completion,executed_steps,unsafe_steps,collision_steps,any_safety_violation,any_collision,replans,reacquisitions,stops,initial_blocked,final_progress,total_planning_iterations
stable,0,69101,open_loop_nominal,True,True,True,35,0,0,False,False,0,0,0,False,1.0,0
stable,0,69101,static_robust,False,False,False,0,0,0,False,False,0,0,0,True,0.0,0
stable,0,69101,closed_loop_adaptive,True,True,True,34,0,0,False,False,1,1,0,False,1.0,0
stable,1,70101,open_loop_nominal,True,True,True,35,0,0,False,False,0,0,0,False,1.0,0
stable,1,70101,static_robust,False,False,False,0,0,0,False,False,0,0,0,True,0.0,0
stable,1,70101,closed_loop_adaptive,True,True,True,34,0,0,False,False,3,2,0,False,1.0,58
stable,2,71101,open_loop_nominal,True,True,True,35,0,0,False,False,0,0,0,False,1.0,0
stable,2,71101,static_robust,False,False,False,0,0,0,False,False,0,0,0,True,0.0,0
stable,2,71101,closed_loop_adaptive,True,True,True,34,0,0,False,False,2,2,0,False,1.0,0
stable,3,72101,open_loop_nominal,True,True,True,35,0,0,False,False,0,0,0,False,1.0,0
stable,3,72101,static_robust,False,False,False,0,0,0,False,False,0,0,0,True,0.0,0
stable,3,72101,closed_loop_adaptive,True,True,True,35,0,0,False,False,0,0,0,False,1.0,0
stable,4,73101,open_loop_nominal,True,True,True,35,0,0,False,False,0,0,0,False,1.0,0
stable,4,73101,static_robust,False,False,False,0,0,0,False,False,0,0,0,True,0.0,0
stable,4,73101,closed_loop_adaptive,True,True,True,34,0,0,False,False,2,2,0,False,1.0,0
stable,5,74101,open_loop_nominal,True,True,True,35,0,0,False,False,0,0,0,False,1.0,0
stable,5,74101,static_robust,False,False,False,0,0,0,False,False,0,0,0,True,0.0,0
stable,5,74101,closed_loop_adaptive,True,True,True,34,0,0,False,False,2,2,0,False,1.0,0
stable,6,75101,open_loop_nominal,True,True,True,35,0,0,False,False,0,0,0,False,1.0,0
stable,6,75101,static_robust,False,False,False,0,0,0,False,False,0,0,0,True,0.0,0
stable,6,75101,closed_loop_adaptive,True,True,True,34,0,0,False,False,2,2,0,False,1.0,0
stable,7,76101,open_loop_nominal,True,True,True,35,0,0,False,False,0,0,0,False,1.0,0
stable,7,76101,static_robust,False,False,False,0,0,0,False,False,0,0,0,True,0.0,0
stable,7,76101,closed_loop_adaptive,True,True,True,34,0,0,False,False,2,2,0,False,1.0,0
stable,8,77101,open_loop_nominal,True,True,True,35,0,0,False,False,0,0,0,False,1.0,0
stable,8,77101,static_robust,False,False,False,0,0,0,False,False,0,0,0,True,0.0,0
stable,8,77101,closed_loop_adaptive,True,True,True,34,0,0,False,False,2,2,0,False,1.0,0
stable,9,78101,open_loop_nominal,True,True,True,35,0,0,False,False,0,0,0,False,1.0,0
stable,9,78101,static_robust,False,False,False,0,0,0,False,False,0,0,0,True,0.0,0
stable,9,78101,closed_loop_adaptive,True,True,True,34,0,0,False,False,2,2,0,False,1.0,0
stable,10,79101,open_loop_nominal,True,True,True,35,0,0,False,False,0,0,0,False,1.0,0
stable,10,79101,static_robust,False,False,False,0,0,0,False,False,0,0,0,True,0.0,0
stable,10,79101,closed_loop_adaptive,True,True,True,34,0,0,False,False,2,2,0,False,1.0,0
stable,11,80101,open_loop_nominal,True,True,True,35,0,0,False,False,0,0,0,False,1.0,0
stable,11,80101,static_robust,False,False,False,0,0,0,False,False,0,0,0,True,0.0,0
stable,11,80101,closed_loop_adaptive,True,True,True,34,0,0,False,False,1,0,0,False,1.0,36
stable,12,81101,open_loop_nominal,True,True,True,35,0,0,False,False,0,0,0,False,1.0,0
stable,12,81101,static_robust,False,False,False,0,0,0,False,False,0,0,0,True,0.0,0
stable,12,81101,closed_loop_adaptive,True,True,True,34,0,0,False,False,2,2,0,False,1.0,0
stable,13,82101,open_loop_nominal,True,True,True,35,0,0,False,False,0,0,0,False,1.0,0
stable,13,82101,static_robust,False,False,False,0,0,0,False,False,0,0,0,True,0.0,0
stable,13,82101,closed_loop_adaptive,True,True,True,34,0,0,False,False,2,2,0,False,1.0,0
stable,14,83101,open_loop_nominal,True,True,True,35,0,0,False,False,0,0,0,False,1.0,0
stable,14,83101,static_robust,False,False,False,0,0,0,False,False,0,0,0,True,0.0,0
stable,14,83101,closed_loop_adaptive,True,True,True,34,0,0,False,False,2,2,0,False,1.0,0
stable,15,84101,open_loop_nominal,True,True,True,35,0,0,False,False,0,0,0,False,1.0,0
stable,15,84101,static_robust,False,False,False,0,0,0,False,False,0,0,0,True,0.0,0
stable,15,84101,closed_loop_adaptive,True,True,True,34,0,0,False,False,2,2,0,False,1.0,0
stable,16,85101,open_loop_nominal,True,True,True,35,0,0,False,False,0,0,0,False,1.0,0
stable,16,85101,static_robust,False,False,False,0,0,0,False,False,0,0,0,True,0.0,0
stable,16,85101,closed_loop_adaptive,True,True,True,34,0,0,False,False,1,1,0,False,1.0,0
stable,17,86101,open_loop_nominal,True,True,True,35,0,0,False,False,0,0,0,False,1.0,0
stable,17,86101,static_robust,False,False,False,0,0,0,False,False,0,0,0,True,0.0,0
