scenario,repetition,seed,fault_onset_step,detected,correct_response,response_latency_steps,completed,terminal_state,recovery_success,appropriate_terminal_response,false_alarm,unsafe_continuation,first_fault_action,replans,reacquisitions,recoveries,stops,failures
nominal,0,71001,,False,True,,True,completed,True,True,False,False,,0,0,0,0,0
nominal,1,71102,,False,True,,True,completed,True,True,False,False,,0,0,0,0,0
nominal,2,71203,,False,True,,True,completed,True,True,False,False,,0,0,0,0,0
nominal,3,71304,,False,True,,True,completed,True,True,False,False,,0,0,0,0,0
nominal,4,71405,,False,True,,True,completed,True,True,False,False,,0,0,0,0,0
nominal,5,71506,,False,True,,True,completed,True,True,False,False,,0,0,0,0,0
nominal,6,71607,,False,True,,True,completed,True,True,False,False,,0,0,0,0,0
nominal,7,71708,,False,True,,True,completed,True,True,False,False,,0,0,0,0,0
nominal,8,71809,,False,True,,True,completed,True,True,False,False,,0,0,0,0,0
nominal,9,71910,,False,True,,True,completed,True,True,False,False,,0,0,0,0,0
nominal,10,72011,,False,True,,True,completed,True,True,False,False,,0,0,0,0,0
nominal,11,72112,,False,True,,True,completed,True,True,False,False,,0,0,0,0,0
nominal,12,72213,,False,True,,True,completed,True,True,False,False,,0,0,0,0,0
nominal,13,72314,,False,True,,True,completed,True,True,False,False,,0,0,0,0,0
nominal,14,72415,,False,True,,True,completed,True,True,False,False,,0,0,0,0,0
nominal,15,72516,,False,True,,True,completed,True,True,False,False,,0,0,0,0,0
nominal,16,72617,,False,True,,True,completed,True,True,False,False,,0,0,0,0,0
nominal,17,72718,,False,True,,True,completed,True,True,False,False,,0,0,0,0,0
nominal,18,72819,,False,True,,True,completed,True,True,False,False,,0,0,0,0,0
nominal,19,72920,,False,True,,True,completed,True,True,False,False,,0,0,0,0,0
nominal,20,73021,,False,True,,True,completed,True,True,False,False,,0,0,0,0,0
nominal,21,73122,,False,True,,True,completed,True,True,False,False,,0,0,0,0,0
nominal,22,73223,,False,True,,True,completed,True,True,False,False,,0,0,0,0,0
nominal,23,73324,,False,True,,True,completed,True,True,False,False,,0,0,0,0,0
nominal,24,73425,,False,True,,True,completed,True,True,False,False,,0,0,0,0,0
nominal,25,73526,,False,True,,True,completed,True,True,False,False,,0,0,0,0,0
