scenario,repetition,seed,fault_onset_step,detected,correct_response,response_latency_steps,completed,terminal_state,recovery_success,appropriate_terminal_response,false_alarm,unsafe_continuation,first_fault_action,replans,reacquisitions,recoveries,stops,failures
nominal,0,71001,,False,True,,True,completed,True,True,False,False,,0,0,0,0,0
nominal,1,71102,,False,True,,True,completed,True,True,False,False,,0,0,0,0,0
nominal,2,71203,,False,True,,True,completed,True,True,False,False,,0,0,0,0,0
temporary_stale_perception,0,171001,17,True,True,0,True,completed,True,True,False,False,reacquire,1,1,0,0,0
temporary_stale_perception,1,171102,10,True,True,0,True,completed,True,True,False,False,reacquire,1,1,0,0,0
temporary_stale_perception,2,171203,10,True,True,0,True,completed,True,True,False,False,reacquire,1,1,0,0,0
persistent_perception_recovery_failure,0,271001,17,True,True,0,False,stopped,False,True,False,False,stop,0,2,0,1,0
persistent_perception_recovery_failure,1,271102,13,True,True,0,False,stopped,False,True,False,False,stop,0,2,0,1,0
persistent_perception_recovery_failure,2,271203,6,True,True,0,False,stopped,False,True,False,False,stop,0,2,0,1,0
recoverable_uncertainty,0,371001,14,True,True,0,True,completed,True,True,False,False,reacquire,1,1,0,0,0
recoverable_uncertainty,1,371102,11,True,True,0,True,completed,True,True,False,False,reacquire,1,1,0,0,0
recoverable_uncertainty,2,371203,14,True,True,0,True,completed,True,True,False,False,reacquire,1,1,0,0,0
critical_uncertainty,0,471001,14,True,True,0,False,stopped,False,True,False,False,stop,0,0,0,1,0
critical_uncertainty,1,471102,14,True,True,0,False,stopped,False,True,False,False,stop,0,0,0,1,0
critical_uncertainty,2,471203,15,True,True,0,False,stopped,False,True,False,False,stop,0,0,0,1,0
recoverable_clearance,0,571001,8,True,True,0,True,completed,True,True,False,False,replan,1,0,0,0,0
recoverable_clearance,1,571102,10,True,True,0,True,completed,True,True,False,False,replan,1,0,0,0,0
recoverable_clearance,2,571203,8,True,True,0,True,completed,True,True,False,False,replan,1,0,0,0,0
critical_clearance,0,671001,8,True,True,0,False,stopped,False,True,False,False,stop,0,0,0,1,0
critical_clearance,1,671102,12,True,True,0,False,stopped,False,True,False,False,stop,0,0,0,1,0
critical_clearance,2,671203,16,True,True,0,False,stopped,False,True,False,False,stop,0,0,0,1,0
recoverable_joint_limit_approach,0,771001,7,True,True,0,True,completed,True,True,False,False,recover,1,0,1,0,0
recoverable_joint_limit_approach,1,771102,12,True,True,0,True,completed,True,True,False,False,recover,1,0,1,0,0
recoverable_joint_limit_approach,2,771203,11,True,True,0,True,completed,True,True,False,False,recover,1,0,1,0,0
joint_limit_violation,0,871001,14,True,True,0,False,stopped,False,True,False,False,stop,0,0,0,1,0
joint_limit_violation,1,871102,13,True,True,0,False,stopped,False,True,False,False,stop,0,0,0,1,0
joint_limit_violation,2,871203,7,True,True,0,False,stopped,False,True,False,False,stop,0,0,0,1,0
recoverable_tracking_error,0,971001,9,True,True,0,True,completed,True,True,False,False,recover,1,0,1,0,0
recoverable_tracking_error,1,971102,12,True,True,0,True,completed,True,True,False,False,recover,1,0,1,0,0
recoverable_tracking_error,2,971203,15,True,True,0,True,completed,True,True,False,False,recover,1,0,1,0,0
critical_tracking_error,0,1071001,15,True,True,0,False,stopped,False,True,False,False,stop,0,0,0,1,0
critical_tracking_error,1,1071102,18,True,True,0,False,stopped,False,True,False,False,stop,0,0,0,1,0
critical_tracking_error,2,1071203,18,True,True,0,False,stopped,False,True,False,False,stop,0,0,0,1,0
invalid_runtime_data,0,1171001,8,True,True,0,False,stopped,False,True,False,False,stop,0,0,0,1,0
invalid_runtime_data,1,1171102,13,True,True,0,False,stopped,False,True,False,False,stop,0,0,0,1,0
invalid_runtime_data,2,1171203,6,True,True,0,False,stopped,False,True,False,False,stop,0,0,0,1,0
execution_timeout,0,1271001,6,True,True,0,False,stopped,False,True,False,False,stop,0,0,0,1,0
execution_timeout,1,1271102,7,True,True,0,False,stopped,False,True,False,False,stop,0,0,0,1,0
execution_timeout,2,1271203,12,True,True,0,False,stopped,False,True,False,False,stop,0,0,0,1,0
replanning_failure,0,1371001,14,True,True,0,False,failed,False,True,False,False,fail,1,0,0,0,1
replanning_failure,1,1371102,9,True,True,0,False,failed,False,True,False,False,fail,1,0,0,0,1
replanning_failure,2,1371203,12,True,True,0,False,failed,False,True,False,False,fail,1,0,0,0,1
persistent_execution_recovery_failure,0,1471001,9,True,True,0,False,stopped,False,True,False,False,stop,0,0,2,1,0
persistent_execution_recovery_failure,1,1471102,18,True,True,0,False,stopped,False,True,False,False,stop,0,0,2,1,0
persistent_execution_recovery_failure,2,1471203,18,True,True,0,False,stopped,False,True,False,False,stop,0,0,2,1,0
